timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 8 9 0.39665452775719917 0.003345472242800851
2 11 12 0.39627757302106614 0.0037224269789338793
2 21 22 0.398273029454484 0.0017269705455160156
3 8 9 0.39360221884224317 0.006397781157756854
3 11 12 0.39085446952232833 0.009145530477671693
3 13 14 0.39689821877084464 0.003101781229155387
4 12 13 0.39899156856221063 0.0010084314377893921
4 13 14 0.3999473689586503 5.2631041349726626E-5
5 10 11 0.3971625283405999 0.002837471659400126
6 10 11 0.39738443003549806 0.0026155699645019626
29 10 13 0.3758592935580923 0.024140706441907744
39 22 24 0.39953431160302477 4.656883969752501E-4
