pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
4 0.0 0
5 0.0 0
6 0.0 1
7 0.0 1
8 0.0 1
9 0.0 1
10 0.0 1
11 0.0 1
12 0.0 1
13 0.0 1
14 0.0 1
15 0.0 1
16 0.0 1
17 0.0 1
18 0.0 1
19 0.0 1
20 0.0 1
3 0.48233652703295127 0
2 0.5002269333641569 0
6 0.5049830107733587 1
16 0.5071921321272672 1
18 0.5087273193458206 1
20 0.515630474208653 1
13 0.551833233353945 1
1 0.5756470754135566 0
11 0.5822530169555622 1
10 0.584672576031174 1
7 0.6014088870068024 1
17 0.6028163382276571 1
15 0.6038483528459986 1
19 0.6068041852424529 1
5 0.6138599114008192 0
14 0.6306745189123301 1
12 0.6358452009928384 1
9 0.7103742560832838 1
4 0.7216269099040528 0
8 0.7289261376715457 1
3 0.9646730540659025 0
2 1.0004538667283138 0
6 1.0099660215467174 1
16 1.0143842642545344 1
18 1.0174546386916412 1
20 1.031260948417306 1
13 1.10366646670789 1
1 1.1512941508271133 0
11 1.1645060339111244 1
10 1.169345152062348 1
21 1.2000000000000002 1
22 1.2000000000000002 1
23 1.2000000000000002 1
24 1.2000000000000002 1
25 1.2000000000000002 1
26 1.2000000000000002 1
27 1.2000000000000002 1
28 1.2000000000000002 1
29 1.2000000000000002 1
30 1.2000000000000002 1
31 1.2000000000000002 1
32 1.2000000000000002 1
33 1.2000000000000002 1
34 1.2000000000000002 1
35 1.2000000000000002 1
36 1.2000000000000002 1
37 1.2000000000000002 1
38 1.2000000000000002 1
39 1.2000000000000002 1
40 1.2000000000000002 1
7 1.2028177740136048 1
17 1.2056326764553142 1
15 1.2076967056919972 1
19 1.2136083704849059 1
5 1.2277198228016384 0
14 1.2613490378246601 1
12 1.2716904019856767 1
9 1.4207485121665675 1
4 1.4432538198081055 0
3 1.447009581098854 0
8 1.4578522753430914 1
2 1.5006808000924707 0
6 1.514949032320076 1
16 1.5215763963818016 1
18 1.5261819580374618 1
20 1.5468914226259591 1
13 1.655499700061835 1
38 1.6981173427809042 1
27 1.711098952881505 1
1 1.7269412262406698 0
