timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
8 56 64 0.39485793628500454 0.005142063714995482
10 24 82 0.39824603017092897 0.001753969829071056
10 58 74 0.3983709594806773 0.001629040519322722
10 72 81 0.3983857476111237 0.0016142523888763027
21 48 71 0.39239008086810895 0.007609919131891074
23 23 55 0.39211977891448785 0.007880221085512173
24 2 71 0.39596560450358387 0.004034395496416154
32 139 159 0.39652416417370073 0.0034758358262992894
42 181 187 0.3969042357608243 0.0030957642391757356
43 93 125 0.3990782825812374 9.217174187626243E-4
43 98 154 0.3981941399399375 0.001805860060062503
44 98 154 0.3981941399399375 0.001805860060062503
44 115 120 0.3907807128955075 0.009219287104492546
44 127 145 0.39833620857415913 0.0016637914258408881
44 171 183 0.39763837289396 0.002361627106040043
45 62 88 0.3944151640909522 0.005584835909047847
45 171 183 0.39763837289396 0.002361627106040043
45 190 201 0.39015560988121145 0.00984439011878857
46 169 189 0.3968248457609331 0.0031751542390669463
47 98 139 0.39727384361509827 0.0027261563849017567
48 101 166 0.3944602128656138 0.005539787134386243
51 201 214 0.39878981237966477 0.0012101876203352568
55 1 114 0.3939841662602514 0.006015833739748622
56 54 145 0.3972428013884508 0.0027571986115492164
57 159 173 0.3937509731445669 0.006249026855433104
