timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
9 46 67 0.3888081768405503 0.01119182315944972
10 46 67 0.3888081768405503 0.01119182315944972
16 106 113 0.3963966457862191 0.0036033542137809405
17 126 136 0.3877404360485851 0.01225956395141492
21 25 52 0.3936239193759978 0.006376080624002245
21 26 53 0.3941938634833687 0.005806136516631311
22 126 150 0.3995933089471532 4.066910528467971E-4
23 118 152 0.39311634438020504 0.006883655619794982
24 25 87 0.3977588091554601 0.002241190844539942
25 2 44 0.39336138695506295 0.0066386130449370695
27 1 110 0.3955969642257678 0.0044030357742322335
31 86 142 0.39855805116741133 0.0014419488325886909
32 72 124 0.38936840319912736 0.010631596800872667
33 72 124 0.38936840319912736 0.010631596800872667
33 109 116 0.3977031239367746 0.002296876063225428
34 2 88 0.39979135325132115 2.0864674867887567E-4
41 126 159 0.39302131401474205 0.006978685985257971
43 42 95 0.3974711405878347 0.0025288594121652963
44 64 222 0.398038586482864 0.0019614135171360236
45 126 159 0.3987385986253963 0.0012614013746037323
46 73 145 0.39905315286187315 9.468471381268717E-4
46 169 186 0.3904941239475254 0.009505876052474604
