timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
8 49 63 0.39971169525930156 2.88304740698464E-4
12 93 99 0.399700522907622 2.994770923780421E-4
14 53 68 0.3940702339130416 0.005929766086958443
15 70 91 0.3907772691715857 0.00922273082841435
15 73 112 0.39633343750971095 0.0036665624902890714
16 108 114 0.3938178918715094 0.0061821081284906265
17 2 42 0.39867765190944965 0.0013223480905503737
18 133 140 0.3904153544471985 0.00958464555280153
21 154 161 0.3947725269722131 0.005227473027786922
25 25 73 0.39306884721058766 0.006931152789412365
25 27 172 0.39628429554811506 0.0037157044518849602
26 25 73 0.39306884721058766 0.006931152789412365
28 41 111 0.3936697056202511 0.006330294379748913
32 25 124 0.39821372548089795 0.0017862745191020712
34 21 138 0.39774164920842947 0.0022583507915705514
37 59 138 0.396023307131192 0.003976692868808029
37 96 150 0.3936849273493004 0.006315072650699638
42 59 89 0.3956504633482528 0.004349536651747199
42 100 114 0.3946950897253039 0.005304910274696095
